Iteration,Payee1_ns,Payer_ns,Payee2_ns
661,1969371,4471954,2563061
662,2036555,4407279,2414803
663,1933168,4555078,2464148
664,1972194,4443196,2440215
665,1979607,4506595,2457698
666,1923856,4381784,2439272
667,1931974,4665264,2453338
668,1967273,4478800,2507320
669,2083531,4521324,2483379
670,1951337,4562090,2461864
671,1939198,4462118,2539992
672,1943606,4381755,2469783
673,1918910,4426639,2474062
674,1960328,4419912,2452271
675,1903180,4447217,2482050
676,2010787,4495204,2492256
677,2015487,4398326,2511297
678,1988054,4500642,2491305
679,1959669,4372368,2562637
680,2029279,4546246,2483533
681,1944511,4426376,2667703
682,1959094,4391113,2423444
683,1933688,4535759,2474226
684,1907798,4500879,2417363
685,2328411,4400736,2421519
686,2014738,4405047,2485206
687,1952682,4415105,2469686
688,1947042,4385352,2517937
689,1999218,4389297,2456240
690,1989616,4459051,2555392
691,2011124,4528870,2710722
692,2033824,4805475,2531048
693,1976169,4613988,2631391
694,2079212,4536619,2461676
695,1959696,4525870,2647436
696,1994854,4601912,2485352
697,1985480,4575952,2491078
698,1958729,4390954,2476677
699,1915638,4442598,2502156
700,2001270,4451264,2465045
701,1948416,4386820,2454357
702,1992644,4478124,2585601
703,2009087,4509289,2497758
704,2011039,5131462,2539059
705,1954202,4422921,2515970
706,1876832,4739422,2474401
707,1987092,4506245,2504193
708,1997269,4684745,2582162
709,2000858,4459415,2703951
710,2044017,4386990,2480787
711,1957568,4522063,2459002
712,2114641,4552900,2472519
713,1987937,4467808,2476861
714,1971491,4539163,2492065
715,1956906,4536326,2449465
716,1907957,4425950,2511274
717,1933444,4455928,2432073
718,1922440,4424708,2478981
719,1945600,4369351,2421484
720,1929285,4380139,2487075
721,1918558,4382914,2650304
722,1977476,4346307,2497148
723,1946293,4399040,2417451
724,1916776,4393926,2474935
725,1972306,4403272,2411342
726,2067102,4459826,2501491
727,2008408,4398504,2523485
728,2017745,4574732,2499181
729,1972444,4428738,2493794
730,1924420,4468340,2462986
731,1919665,4470921,2558622
732,1989758,4386855,2394334
733,1935355,4553309,2453004
734,1911322,4388538,2461482
735,1963561,4538325,2429452
736,1966308,4420253,2613886
737,2356090,4434793,2423054
738,1961889,4346513,2479934
739,1933810,4426117,2464620
740,1937600,4361716,2436588
741,2010580,4425135,2452345
742,1905020,4387413,2533174
743,1891885,4356903,2423239
744,2012859,4525290,2434185
745,1944558,4433772,2547824
746,1961361,4435504,2426253
747,1887579,4355651,2505905
748,2029395,4494263,2594971
749,1958775,4728941,2598022
750,2000233,4511103,2451059
751,1996901,4495675,2522658
752,1950010,4410009,2472330
753,1930840,4427540,2452270
754,1926595,4501482,2498901
755,1989395,4418604,2451178
756,1975154,4406462,2463863
757,1930673,4394612,2454549
758,1958966,4406621,2465725
759,1916127,4541583,2508062
760,1974554,4466045,2477278
761,1949752,4390545,2433570
762,2094955,4461097,2451316
763,1955740,4444057,2525636
764,1953129,4416329,2474635
765,1901751,4419691,2483924
766,1939276,4491165,2475022
767,1928853,4414788,2533274
768,1966708,4358584,2434471
769,1891790,4469919,2460335
770,1942046,4412413,2423797
771,1936843,5058159,2470732
772,1925267,4360195,2407638
773,1963062,4394842,2471598
774,1924062,4414781,2439675
775,1959160,4562600,2419761
776,1954277,4361084,2401287
777,1972739,4428010,2565378
778,1970571,4499676,2531351
779,1957368,4695366,2471500
780,1994277,4526858,2447041
781,1921901,4362501,2523455
782,1956955,4381120,2398366
783,1897528,4451441,2598370
784,1976446,4353980,2413461
785,1937438,4421186,2441160
786,1947326,4501244,2484659
787,1937326,4399251,2404892
788,1914710,4460821,2488735
789,1899560,4348322,2438825
790,1959509,4363387,2483530
791,1916963,4342672,2420187
792,1940607,4461882,2434121
793,1909644,4443227,2505387
794,1907556,4455535,2475589
795,1908670,4363478,2531143
796,2025475,4570252,2444731
797,2134310,4652705,2445217
798,2129003,4455310,2458860
799,1900293,4361942,2538349
800,1983389,4420415,2440110
801,1946414,4499294,2659969
802,2004706,4449583,2539232
803,1995782,4622157,2449694
804,1932842,4381600,2428150
805,1897612,4512399,2509662
806,1956513,4529563,2500700
807,1971471,4415962,2533767
808,1922748,4487890,2481091
809,1958542,4466721,2490093
810,1948425,4350729,2451441
811,2014607,4653957,2485386
812,1968111,4435945,2453634
813,2001901,4533585,2505276
814,1958830,4522722,2484288
815,1991472,4559420,2557246
816,2108265,4518729,2457337
817,2058642,4418624,2415693
818,1960306,4546950,2574681
819,1989456,4396941,2484182
820,1969378,4466680,2477252
821,1966981,4439425,2449398
822,1947364,4395213,2431545
823,1919594,4381353,2425068
824,1922186,4343111,2476666
825,1925612,4419721,2402877
826,1915354,4386702,2534808
827,1957845,4465043,2494474
828,1955673,4641586,2480701
829,1926870,4445911,2415661
830,1889829,4350203,2429485
831,1959205,4353404,2474801
832,2002205,4409286,2429613
833,1953684,4327425,2447869
834,1972131,4367862,2439407
835,1918114,4497273,2466346
836,1922900,4430741,2504614
837,1947696,4353913,2428457
838,1973075,4440373,2488190
839,1918842,4372434,2465106
840,1935279,4414662,2471540
841,1910481,4411375,2429383
842,1931618,4397119,2391896
843,1951885,4411965,2702186
844,1984660,4479539,2513213
845,1931752,4685791,2456900
846,1944309,4430833,2442142
847,1918992,4347449,2433479
848,1926652,4364499,2559675
849,1956727,4410006,2425264
850,1909863,4391762,2503969
851,2056193,4515897,2573266
852,2016789,4592656,2490313
853,1977843,4443155,2560563
854,2014906,4740482,2483527
855,1918571,4515915,2598465
856,1973914,4476486,2504706
857,1959883,4511624,2497473
858,2003474,4438252,2502949
859,1959386,4775794,2444242
860,1944080,4358241,2489866
861,1918661,4354958,2456142
862,1900158,4380893,2483529
863,1888762,4383594,2478783
864,1946831,4416362,2427183
865,1893251,4363186,2466192
866,1955636,4442079,2521730
867,1974515,4563827,2504180
868,1957540,4447705,2406497
869,1930016,4405805,2464037
870,1943545,4388085,2731037
871,1970423,4461792,2487838
872,1945604,4454915,2481317
873,1946713,4315853,2401409
874,2024944,4545009,2500565
875,1973990,4425039,2551010
876,1934422,4423485,2489420
877,1945985,4527694,2448899
878,1948215,4481004,2510887
879,2010524,4461153,2439416
880,1990797,4536431,2510092
881,1916901,4396621,2520561
882,1980839,4471720,2519412
883,1935528,4416508,2435241
884,2096733,4419148,2446321
885,1895915,4462332,2498855
886,1894064,4363685,2418531
887,1964616,4433924,2438086
888,1923372,4331101,2436656
889,1977698,4533556,2559455
890,1983726,4475301,2542288
891,1943809,4461534,2493393
892,1950926,4492076,2431100
893,1938996,4409714,2424467
894,1922156,4365953,2510512
895,1913780,4336320,2476770
896,1960420,4429553,2422400
897,1978343,4411027,2471362
898,1934737,4360054,2475390
899,1970348,4893809,2487073
900,1943205,4452888,2426425
901,1927184,4529354,2467180
902,1954279,4375449,2469756
903,1948861,4512761,2440224
904,1933203,4357750,2379653
905,1962591,4422722,2440975
906,1918942,4416059,2475747
907,1958468,4420588,2511452
908,1985140,4487926,2519480
909,1957017,4495786,2468592
910,1976316,4389611,2496025
911,1953721,4583651,2454666
912,1943660,4484472,2460048
913,2095910,4452598,2527924
914,1976720,4334415,2533563
915,1924711,4408506,2466897
916,1917678,4557538,2440968
917,1925319,4416705,2427063
918,1915626,4403442,2459277
919,1945372,4446018,2694591
920,1997085,4456471,4632857
921,4038426,4441295,2510572
922,1938738,4569472,2838642
923,1940631,4384760,2474731
924,1985093,4621846,2442451
925,2082014,4408591,2542478
926,1961539,4488230,2412521
927,1924783,4402228,2433832
928,1926187,4558379,2490736
929,1958083,4551106,2431104
930,2005996,4398278,2449520
931,2077189,4402092,2462418
932,1961217,4450777,2573222
933,2006355,4450759,2494489
934,1977566,4612910,2501934
935,1998240,4478322,2441075
936,1963225,4487748,2590347
937,1965535,4655562,2472873
938,1938650,4456016,2434671
939,1934727,4342867,2411752
940,1933807,4335838,2449747
941,2064234,4420847,2494538
942,1915628,4417455,2522806
943,1986074,4480468,2505341
944,1981367,4614691,2431677
945,1960198,4424008,2449218
946,1949632,4345747,2452378
947,1936293,4350956,2436353
948,1933873,4388351,2556215
949,1928748,4369387,2413674
950,1932036,4308514,2524774
951,1882822,4470689,2505471
952,1980685,4421236,2462718
953,2120752,4445543,2413477
954,1908982,5017183,2538378
955,1978463,4453163,2512585
956,2094191,4461961,2409079
957,1890852,4357533,2500072
958,1990381,4414069,2450648
959,1931248,4460928,2433993
960,1930859,4328754,2428275
961,1911013,4472765,2482861
962,1900703,4346388,2392117
963,1913127,4420279,2468837
964,1919085,4426194,2605131
965,2017721,4370943,2482937
966,2023976,4349201,2513640
967,1934710,4374202,2523526
968,2103277,4419046,2434490
969,1930972,4377824,2500144
970,1958784,4547832,2486780
971,1937799,4555872,2491974
972,1974036,4442618,2458470
973,2082078,4434806,2460232
974,1922973,4450136,2438660
975,1957609,4391937,2452760
976,1919931,4416773,2491631
977,1940187,4454011,2477013
978,1921444,4505861,2459410
979,1946894,4696437,2810919
980,1995932,4423346,2570363
981,1952622,4647000,2517111
982,1982156,4406966,2507907
983,2239595,4545870,2539506
984,1909978,4413128,2491685
985,1944679,4469135,2445844
986,1916216,4381899,2475033
987,1983485,4363135,2414922
988,1992249,4347240,2400199
