Iteration,Payee1_ns,Bank1_ns,Payee2_ns,Bank2_ns,Payee3_ns,Bank3_ns
554,2657976,6875294,635988,681334,771069,4893530
555,2654866,6534600,643311,667456,765492,4847132
556,2687296,6614461,662400,683800,747500,4731987
557,2826504,6514749,667023,675391,778319,4840582
558,2677319,6584182,660613,661344,754313,4919531
559,2720782,6385938,640825,703848,773175,5626602
560,2643757,6471308,658694,666489,755139,5157876
561,2750016,6476326,670607,680765,754552,4883841
562,2611439,6467336,625739,642444,797540,4866959
563,2611796,6533942,633235,660871,745088,4893199
564,2762660,6540394,777366,658464,748810,4975962
565,2668953,6443507,657840,715330,744853,4837189
566,2616638,6519320,640973,662185,735859,4991141
567,2661692,6599343,642043,691278,749079,4877555
568,2650760,6570202,647650,652549,738930,5113864
569,2790589,6699536,651561,661303,754879,4804259
570,2692780,6444265,649293,664908,824641,4736367
571,2740454,6508071,654417,669403,739564,5208567
572,2669124,6491425,657972,673061,869235,4960042
573,2703262,6460821,647046,639949,740129,5316190
574,2625548,6491015,632109,767138,749838,4880350
575,2660400,6399115,662252,675867,786254,5036083
576,2603866,6459207,655936,654794,756030,4813570
577,2662533,6556202,633570,664819,744478,4781015
578,2630650,6447438,644614,656879,767308,5082761
579,2621999,6516146,687578,737023,741171,4791049
580,2621356,6506823,750282,681843,744265,5041418
581,2650469,6518085,738906,656257,757206,4946152
582,2913035,6504211,643424,648162,750683,4750603
583,2600477,6585153,636459,692941,737202,4980652
584,2612091,6502717,651018,664175,760687,5164700
585,2652704,6486396,633241,690632,758655,4975435
586,2682281,6506024,634508,652467,771851,4760652
587,2701393,6575720,646040,646569,739610,5134928
588,2624999,6523841,671160,674130,767085,4852215
589,2701538,6468145,658043,659755,747265,4788453
590,2706808,6550865,644067,679075,755971,4947350
591,2716214,6520409,664244,672958,766620,4834678
592,2669471,6633284,670126,671394,763391,4833158
593,2563692,6534637,677541,672987,757089,5177853
594,2709562,6540120,626438,643863,752471,4723988
595,2673148,6486063,632079,664628,749082,4939641
