Iteration,Payee_ns,Bank_ns
1022,2598185,9936045
1023,2664285,10109473
1024,2733944,11304580
1025,2639994,9960902
1026,2684433,10833400
1027,2683966,10233431
1028,2644506,10081481
1029,2639115,10062953
1030,2694127,10966585
1031,2598746,10092924
1032,2659792,10130492
1033,2745188,10372661
1034,2669416,9908799
1035,2645755,9980612
1036,2606555,10053195
1037,2679599,9942803
1038,2651085,10999006
1039,2662327,10423396
1040,2635470,9996929
1041,2655217,9878460
1042,2621608,9989662
1043,2661168,9987631
1044,2672447,9866361
1045,2659321,10284221
1046,2770467,13198452
1047,2696555,10127719
1048,2689388,9956681
1049,2635310,9922436
1050,2655107,9961164
1051,2610205,10070290
1052,2674048,10242837
1053,2681279,10326833
1054,2643197,10074854
1055,2623985,10013266
1056,2677004,10035069
1057,2654465,10144566
1058,2665769,10005458
1059,2660733,10230053
1060,2658671,10261121
1061,2715330,11731716
1062,2649993,11337977
1063,2696106,10255462
1064,2656463,10052959
1065,2653185,10235154
1066,2619884,9766758
1067,2663324,9964216
1068,2657031,9935892
1069,2637267,9708981
1070,2641018,9841446
1071,2664957,9781132
1072,2613233,10119328
1073,2629043,10011184
1074,2667321,9824743
1075,2768725,9749910
1076,2669328,9896194
1077,2655783,9838752
1078,2727611,10091363
1079,2709053,9903805
1080,2652945,10138644
1081,2601955,10191172
1082,2683542,10075921
1083,2673699,9944479
1084,2620712,19017761
1085,2656567,10421581
1086,2712129,9996733
1087,2705361,10121446
1088,2678336,10137620
1089,2602161,10205714
1090,2690603,10016183
1091,2634199,10048013
1092,2672361,10069247
1093,2656374,10168325
1094,2669868,10190980
1095,2645439,10014128
1096,2677580,10276299
1097,2667443,10052927
1098,2670216,10078174
1099,2684055,10204999
1100,2659024,9922088
1101,2695116,10715340
1102,2678038,10294758
1103,2722572,10369454
1104,2663592,10056067
1105,2646134,10123557
1106,2630619,10121070
1107,2637665,10025781
1108,2654333,10146877
1109,3613725,10040831
1110,2620008,10292294
1111,2682328,9864562
1112,2653796,10040622
1113,2623361,10082366
1114,2719717,10092147
1115,2685932,10048242
1116,2616679,10046700
1117,2716801,10156412
1118,2718870,10050890
1119,2644481,10134014
1120,2654606,10070950
1121,2645531,10017577
1122,2676246,10050747
1123,2652458,10227074
1124,2683926,10238496
1125,2659372,10103626
1126,2683520,10019821
1127,2622750,11391305
1128,2636526,10182486
1129,2701012,10088154
1130,2612777,10275877
1131,2650074,10212443
1132,2695832,9983772
1133,2720364,10530299
1134,2710696,10069161
1135,2659846,10048289
1136,2656902,9962215
1137,2676592,10237826
1138,2640212,10073403
1139,2655040,9998109
1140,2708655,10095712
1141,2671602,14567825
1142,2650593,9880503
1143,2615494,10017105
1144,2642369,10080073
1145,2626738,10037903
1146,2767393,10174619
1147,2688464,10278934
1148,2608203,10258758
1149,2693106,10392007
1150,2648911,10467560
1151,2629320,10922162
1152,2827728,10093590
1153,2650560,10227969
1154,2644500,10011868
1155,2655420,10152543
1156,2703285,10415299
1157,2712022,10354459
1158,2622093,10137938
1159,2669849,10587099
1160,2682625,10436244
1161,2733966,10764851
1162,2695484,10094445
1163,2743926,11116603
1164,2627226,10243610
1165,2684719,10042537
1166,2681269,10373890
1167,2624788,10094527
1168,2670957,10098884
1169,2668209,9778871
1170,2672365,9872021
1171,2694595,9877349
1172,2661804,9854905
1173,2692565,9954331
1174,2623144,10079319
1175,2699206,10172451
1176,2637139,9841070
1177,2624061,10151381
1178,2696190,9818705
1179,2623121,10120806
