Iteration,Payee1_ns,Payer_ns,Payee2_ns
612,2057530,5563280,3404016
613,2096211,5528301,3377224
614,2059985,5421286,3516181
615,2123944,5471575,3406632
616,2057771,5414860,3391532
617,2048136,5552354,3378522
618,2053347,5453407,3513729
619,2060036,5483623,3387462
620,2008886,5571634,3335650
621,2054291,5469592,3352043
622,2064652,5506361,3465441
623,2052366,5477538,3348462
624,2088074,5498357,3426971
625,2090802,5916065,3431808
626,2038386,5449107,3532866
627,2130532,5423586,3352904
628,2025967,5468895,3301658
629,2030817,5412678,3444335
630,2035616,5341534,3465003
631,2058873,5530184,3408375
632,2063902,5627823,3395667
633,2097089,5652102,3299837
634,2061776,5392525,3343266
635,2026564,5324155,3379539
636,2045201,5380634,3328661
637,2014112,5392026,3358408
638,2027438,5363030,3423720
639,2048974,5462429,3336008
640,2032781,5549587,3369875
641,2050391,5888478,3375154
642,2136191,5522716,3478357
643,2044841,5403337,3407400
644,2028728,5454387,3356781
645,2066050,5459794,3441978
646,2069286,5421742,3425418
647,2078746,5426095,3368751
648,2229290,5476937,3466808
649,2069196,5479327,3365028
650,2007504,5374025,3395674
651,2037544,5672378,3387236
652,2183966,6211947,3376787
653,1998876,5431379,3438495
654,2039222,5817866,3382312
655,2102953,5430677,3522655
656,2077059,5468057,3347274
657,2052303,5449570,3380400
658,2032907,5521290,3457135
659,2043613,5422120,3309213
660,2025469,5499327,3409162
661,2069670,5448809,3376421
662,2047473,5551830,3370379
663,2070554,5551581,3389738
664,2136950,5536535,3373323
665,2114339,5529628,3390252
666,2061300,5458536,3364309
667,2027182,5427511,3508356
668,2042994,5402952,3359301
669,2043420,5432562,3394261
670,2046672,5384227,3391860
671,2024495,5471629,3519848
672,2196591,5503814,3408666
673,2297398,5493893,3330762
674,2054464,5343052,3416203
675,2041264,5444864,3353260
676,2020805,5462209,3294046
677,2071535,5359971,3327877
678,2004953,5429515,3347604
679,2056661,5395013,3434762
680,2072140,5568003,3393932
681,2206322,5521692,3322860
682,2019292,5386933,3427871
683,2031004,5396482,3468976
684,2023828,5469328,3384921
685,2055713,5568464,3444976
686,2084200,5541407,3345742
687,2063956,5430639,3369072
688,2069685,5456375,3546823
689,2192224,5463446,3436132
690,2122666,5561934,3310860
691,2070146,5600887,3398563
692,2072521,5480526,3435340
693,2023267,5378280,3338127
694,2041232,5576186,3343809
695,2076301,5470046,3331675
696,2071405,5371144,3405340
697,2100367,5483540,3353618
698,2064188,5380656,3365797
699,2046671,5440712,3354553
700,2050230,5449983,3402212
701,2019449,5373127,3376251
702,2021235,5435942,3334541
703,2055835,5461368,3329436
704,2072032,5367040,3418212
705,2136902,5518402,3415094
706,2042228,5400866,3369678
707,2008538,5546126,3359992
708,2045456,5477757,3363627
709,2077710,5467598,3356735
710,2130013,5496687,3340227
711,2047164,5410033,3382422
712,2020256,5437630,3422129
713,2041130,5424436,3334833
714,2059271,5423202,3438302
715,2114028,5569753,3375178
716,2066999,5478042,3374101
717,2028723,5455841,3368730
718,2001180,5432431,3359499
719,2060363,5409999,3328156
720,2035963,5398018,3341795
721,2056820,5405572,3464403
722,2045232,5439760,3412323
723,2070073,5505190,3356600
724,2062521,5425669,3367807
725,2042388,5413660,3331773
726,2060428,5525565,3390960
727,2067007,5578961,3303592
728,2045706,5396330,3380438
729,2066567,5369647,3367045
730,2034907,5900694,4046128
731,2605082,5763893,3380661
732,2093500,5632999,3485752
733,2324209,5412677,3712630
734,2115099,5432192,3347696
735,2061194,5569283,3673314
736,2176771,5629306,3422773
737,2133681,5752109,3516046
738,2105574,5711979,3727019
739,2231671,5434794,3360761
740,2051996,5641551,3825089
741,2080718,5611587,3568000
742,2083902,5596037,3289458
743,2145814,5895805,3486805
744,2123173,5564929,3505235
745,2111211,5705008,3436751
746,2068203,6009063,3507506
747,2125154,5460058,3411048
748,2111470,5868746,3337756
749,2057775,5592299,3585400
750,2067622,5492171,3387079
751,2158137,5714709,3463731
752,2055234,5480061,3347708
753,2069047,5542650,3360304
754,2040182,5398384,3395922
755,2069056,5414715,3319657
756,2058480,5392627,3358567
757,2140620,5499734,3438150
758,2041235,5562242,3405150
759,2075373,5624518,3437426
760,2089254,5423456,3356254
761,2044298,5526373,3355397
762,2032970,5498207,3372937
763,2043771,5426464,3684503
764,2115841,5414967,3384404
765,2089565,5408789,3318891
766,2086186,5410833,3334365
767,2086480,5673556,3493030
768,2064876,5476526,3459503
769,2064643,5457743,3360420
770,2075595,5457151,3363768
771,2008768,5398251,3333810
772,2018294,5357719,3393764
773,2062772,5409429,3308407
774,2048834,5441486,3351244
775,2027592,5924559,3430880
776,2105151,5473207,3460394
777,2093817,5441621,3726772
778,2111521,5370300,3419517
779,2072130,5519806,3345370
780,2082890,5657128,3421563
781,2074564,5587523,3493012
782,2018993,5382264,3399621
783,2095112,5493559,3325768
784,2025291,5404441,3341749
785,2036208,5408416,3406255
786,2034696,5403045,3312190
787,2085630,5418575,3425603
788,2077576,5432682,3329276
789,2050893,5369154,3410527
790,2055823,5421950,3352364
791,2078931,5561212,3340831
792,2084243,5424777,3394103
793,2049996,5445874,3319878
794,2087404,5407706,3340596
795,2388467,5588645,3339585
796,2085313,5405568,3333020
797,2054155,5405763,3333843
798,2087304,5386769,3351556
799,2021588,5406656,3311493
800,1997419,5417400,3327671
801,2029128,5432726,3373917
802,2027639,5372061,3394723
803,2020524,5396183,3448950
804,2071589,5444328,3330009
805,2051040,5383084,3445809
806,2033752,5388337,3337305
807,2119677,5431386,3307494
808,2014644,5499390,3365358
809,2065757,5425225,3356493
810,2052430,5371807,3322582
811,2065306,5350414,3371592
812,2060762,5396368,3339610
813,2006078,5438470,3376362
814,2033327,5368987,3416169
815,2082795,5412690,3338150
816,2077315,5390278,3379023
817,2042199,5487679,3371767
818,2055795,5464312,3370562
819,2040882,5438732,3297452
820,2087043,5492821,3383892
821,2110854,5380599,3409790
822,2089753,5463799,3395867
823,2086138,5510304,3411801
824,2082131,5766336,3436888
