Iteration,Payee1_ns,Bank1_ns,Payee2_ns,Bank2_ns,Payee3_ns
637,1913503,8156339,696373,703522,463174
638,2021598,8377452,654669,668526,465397
639,1970227,8494359,676406,690678,461551
640,2094711,8629942,672934,722300,548073
641,1990482,8355624,659378,644769,463399
642,1897647,8254189,644384,644041,467163
643,1921890,8208050,662798,712609,460237
644,1983153,8709060,673085,665502,467176
645,1943071,8911225,734850,660268,463918
646,2053274,8703312,1533282,681663,467312
647,1989806,8478904,644158,642882,471530
648,1937494,8519200,647912,642728,462351
649,1963012,8513203,663122,667298,476484
650,1904718,8490704,682412,645484,464465
651,1942537,8392039,673808,912393,662694
652,2078392,8532779,662748,656579,469516
653,1951276,8797678,665507,660066,478065
654,1952855,8564162,664228,645983,468215
655,1931009,9062266,984767,686967,487033
656,1993953,8415270,700421,876713,455130
657,2084900,8568883,638230,629053,458661
658,1912507,8977712,1066746,674671,458705
659,2006317,8621021,665093,695661,475442
660,2012218,8552086,697838,969124,481558
661,1927349,8451490,672897,686775,470225
662,1927878,8482195,634367,652798,455676
663,2008962,8521242,660341,644317,479813
664,1954142,8457689,641409,643389,458251
665,1942995,8476932,1507659,749305,465269
666,1940288,8480783,648713,655584,471941
667,1953162,8846906,1411310,699837,449105
668,1933227,8480951,672521,667973,468262
669,1921411,8951138,680019,661979,474735
670,1955767,8464051,1224593,759617,493717
671,2028324,8789992,694239,656056,464777
672,1984068,8324212,688706,709062,459371
673,1963597,11799832,659697,635214,463393
674,1964931,8649050,664581,653727,465012
675,1908474,8572237,904987,710073,447878
676,1996229,9647010,659337,634574,461792
677,1909199,8441384,666741,678312,467275
678,1970679,8206071,681451,734173,468821
679,1948975,8608759,672084,663940,462988
680,1928882,9387248,682979,663961,470320
681,1979879,8154017,659911,776941,518742
682,2267179,8124038,681855,657321,461279
683,1914974,8480546,650022,635714,470006
684,1985846,8580887,683883,655959,507305
685,1914724,8213154,652341,652596,470989
686,1953153,8444491,660665,674307,452464
687,1946921,8368656,654310,638838,460442
688,1992280,8773284,636826,632083,462904
689,1917181,8209322,650414,655785,468693
690,1946037,8107620,638550,644465,464707
691,2304696,8436327,667514,675328,464550
692,1935073,8288073,715330,660317,475915
693,1895850,12887251,663013,646653,476458
694,1905451,8164374,930739,660932,460411
695,1932272,8135624,685654,650779,467318
696,2093973,8172887,636843,639650,468527
697,1987045,8302648,662805,659309,471789
698,1960382,9207255,663575,674825,470051
699,1967645,8282401,663181,669304,575258
700,2027058,8190679,638901,639704,473919
701,2006404,8468092,640041,648076,480519
702,1915950,8334493,679374,636189,461363
703,1964800,8361912,811106,641117,465426
704,1964789,8122749,640574,759109,479911
705,2130952,9402463,652146,652595,459772
706,1921644,8723032,654415,645972,460637
707,1959756,8233817,678173,691550,447539
708,1982043,8093033,641586,641978,462869
709,2063847,8075297,661242,640047,463454
710,1931214,9378133,677124,670412,471863
711,1967206,8415259,670093,653005,480098
712,1947838,8199976,650627,809899,471581
713,2024581,8087171,655800,646624,465799
714,2007852,8453343,648505,643762,472446
715,1944846,8988318,646975,639829,464526
716,2012660,8513320,679683,641761,467643
717,1922933,8267529,1015595,726026,445141
718,2061018,8158370,641566,643125,465797
719,1941812,8382939,644768,638230,463567
720,1928886,8663576,657261,679840,513865
721,1932974,8271115,664938,647512,469649
722,1939196,8100948,642040,632484,463827
